,mouse,day,session,filepath
233,4,1,VR,Teris/FragileX/cohort_202108/data/VR/M4_D1_2021-08-09_11-26-53
234,4,2,openfield,Teris/FragileX/cohort_202108/data/openfield/M4_D2_2021-08-10_11-59-59
235,4,2,VR,Teris/FragileX/cohort_202108/data/VR/M4_D2_2021-08-10_11-12-19
236,4,3,openfield,Teris/FragileX/cohort_202108/data/openfield/M4_D3_2021-08-11_11-40-19
237,4,3,VR,Teris/FragileX/cohort_202108/data/VR/M4_D3_2021-08-11_10-57-42
238,4,4,openfield,Teris/FragileX/cohort_202108/data/openfield/M4_D4_2021-08-12_12-35-33
239,4,4,VR,Teris/FragileX/cohort_202108/data/VR/M4_D4_2021-08-12_11-53-22
240,4,5,openfield,Teris/FragileX/cohort_202108/data/openfield/M4_D5_2021-08-16_11-55-21
241,4,5,VR,Teris/FragileX/cohort_202108/data/VR/M4_D5_2021-08-16_11-13-46
242,4,6,openfield,Teris/FragileX/cohort_202108/data/openfield/M4_D6_2021-08-17_12-06-00
243,4,6,VR,Teris/FragileX/cohort_202108/data/VR/M4_D6_2021-08-17_11-22-40
244,4,7,openfield,Teris/FragileX/cohort_202108/data/openfield/M4_D7_2021-08-18_12-13-31
245,4,7,VR,Teris/FragileX/cohort_202108/data/VR/M4_D7_2021-08-18_11-31-51
246,4,8,openfield,Teris/FragileX/cohort_202108/data/openfield/M4_D8_2021-08-19_11-57-23
247,4,8,VR,Teris/FragileX/cohort_202108/data/VR/M4_D8_2021-08-19_11-16-33
248,4,10,openfield,Teris/FragileX/cohort_202108/data/openfield/M4_D10_2021-08-23_11-44-33
249,4,10,VR,Teris/FragileX/cohort_202108/data/VR/M4_D10_2021-08-23_11-04-34
250,4,11,openfield,Teris/FragileX/cohort_202108/data/openfield/M4_D11_2021-08-24_10-29-30
251,4,11,VR,Teris/FragileX/cohort_202108/data/VR/M4_D11_2021-08-24_09-50-46
252,4,12,openfield,Teris/FragileX/cohort_202108/data/openfield/M4_D12_2021-08-25_11-21-08
253,4,12,VR,Teris/FragileX/cohort_202108/data/VR/M4_D12_2021-08-25_10-32-14
254,4,13,openfield,Teris/FragileX/cohort_202108/data/openfield/M4_D13_2021-08-26_12-00-01
255,4,13,VR,Teris/FragileX/cohort_202108/data/VR/M4_D13_2021-08-26_11-18-53
256,4,14,openfield,Teris/FragileX/cohort_202108/data/openfield/M4_D14_2021-08-27_12-10-49
257,4,14,VR,Teris/FragileX/cohort_202108/data/VR/M4_D14_2021-08-27_11-24-43
258,4,15,openfield,Teris/FragileX/cohort_202108/data/openfield/M4_D15_2021-08-31_11-53-52
259,4,15,VR,Teris/FragileX/cohort_202108/data/VR/M4_D15_2021-08-31_11-06-10
260,4,16,openfield,Teris/FragileX/cohort_202108/data/openfield/M4_D16_2021-09-01_11-34-49
261,4,16,VR,Teris/FragileX/cohort_202108/data/VR/M4_D16_2021-09-01_10-52-51
262,4,17,openfield,Teris/FragileX/cohort_202108/data/openfield/M4_D17_2021-09-02_12-25-07
263,4,17,VR,Teris/FragileX/cohort_202108/data/VR/M4_D17_2021-09-02_11-41-07
264,4,18,openfield,Teris/FragileX/cohort_202108/data/openfield/M4_D18_2021-09-03_11-17-27
265,4,18,VR,Teris/FragileX/cohort_202108/data/VR/M4_D18_2021-09-03_10-39-52
266,4,19,openfield,Teris/FragileX/cohort_202108/data/openfield/M4_D19_2021-09-06_11-33-23
267,4,19,VR,Teris/FragileX/cohort_202108/data/VR/M4_D19_2021-09-06_10-45-43
268,4,20,openfield,Teris/FragileX/cohort_202108/data/openfield/M4_D20_2021-09-07_12-03-33
269,4,20,VR,Teris/FragileX/cohort_202108/data/VR/M4_D20_2021-09-07_11-23-28
270,4,21,openfield,Teris/FragileX/cohort_202108/data/openfield/M4_D21_2021-09-08_11-52-42
271,4,21,VR,Teris/FragileX/cohort_202108/data/VR/M4_D21_2021-09-08_11-11-01
272,4,22,openfield,Teris/FragileX/cohort_202108/data/openfield/M4_D22_2021-09-09_12-05-38
273,4,22,VR,Teris/FragileX/cohort_202108/data/VR/M4_D22_2021-09-09_11-19-48
274,4,23,openfield,Teris/FragileX/cohort_202108/data/openfield/M4_D23_2021-09-10_12-11-57
275,4,23,VR,Teris/FragileX/cohort_202108/data/VR/M4_D23_2021-09-10_11-30-10
276,4,24,openfield,Teris/FragileX/cohort_202108/data/openfield/M4_D24_2021-09-13_12-05-48
277,4,24,VR,Teris/FragileX/cohort_202108/data/VR/M4_D24_2021-09-13_11-24-13
278,4,25,openfield,Teris/FragileX/cohort_202108/data/openfield/M4_D25_2021-09-14_12-18-34
279,4,25,VR,Teris/FragileX/cohort_202108/data/VR/M4_D25_2021-09-14_11-26-17
280,4,26,openfield,Teris/FragileX/cohort_202108/data/openfield/M4_D26_2021-09-15_12-07-40
281,4,26,VR,Teris/FragileX/cohort_202108/data/VR/M4_D26_2021-09-15_11-19-22
282,4,27,openfield,Teris/FragileX/cohort_202108/data/openfield/M4_D27_2021-09-16_13-41-11
283,4,27,VR,Teris/FragileX/cohort_202108/data/VR/M4_D27_2021-09-16_12-56-21
284,4,28,openfield,Teris/FragileX/cohort_202108/data/openfield/M4_D28_2021-09-17_12-05-01
